SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532642,JSWHL       ,A ,Q,3798.00,3950.00,3798.00,3909.00,3909.00,3751.20,81,122,473097.00,
532644,JK CEMENT   ,A ,Q,2800.00,2922.60,2800.00,2841.55,2835.55,2813.20,446,1716,4903711.00,
532648,YES BANK    ,A ,Q,14.45,14.75,14.30,14.70,14.70,14.45,6056,8015334,117102589.00,
532649,NECTAR LIFE ,B ,Q,19.10,19.80,19.00,19.45,19.50,18.90,109,22448,432778.00,
532650,MSP STEEL   ,B ,Q,9.87,11.33,9.87,11.29,11.22,10.30,157,105219,1188406.00,
532651,SPL INDS    ,B ,Q,34.65,34.65,32.00,32.55,33.40,31.90,43,4309,142863.00,
532652,KARNATAKA BK,A ,Q,61.00,62.30,60.90,61.60,61.85,61.40,431,68196,4198058.00,
532654,MCLEOD RUSSE,B ,Q,19.60,21.60,19.60,19.75,19.75,20.60,622,194474,3931403.00,
532656,FACOR ALLOYS,XT,Q,2.75,2.90,2.67,2.82,2.87,2.77,182,228344,643702.00,
532659,IDFC        ,A ,Q,48.20,48.55,47.00,48.05,48.05,48.10,682,164357,7858041.00,
532660,VIVIMED LABS,B ,Q,15.80,16.90,15.80,16.75,16.70,16.20,79,10427,174443.00,
532661,RANE MADRAS ,B ,Q,345.00,355.00,341.55,351.20,350.80,338.85,204,1028,357116.00,
532662,HT MEDIA    ,B ,Q,21.25,22.50,20.70,21.65,22.50,21.80,87,9917,210194.00,
532663,SASKEN      ,A ,Q,985.30,1008.00,940.05,956.30,940.05,970.05,952,4786,4692670.00,
532666,FCS SOFTWARE,T ,Q,0.67,0.67,0.64,0.66,0.67,0.67,272,483961,313548.00,
532667,SUZLONENERGY,A ,Q,4.62,4.91,4.62,4.84,4.84,4.70,1789,2384340,11496699.00,
532668,AURIONPRO SO,B ,Q,176.95,176.95,161.00,164.90,162.20,175.95,822,26230,4386535.00,
